"id","code_prefix_start","name","name@vi_VN"
"c133_account_group_1","1","Current Assets","Tài sản lưu động"
"c133_account_group_2","2","None Current Assets","Tài sản dài hạn"
"c133_account_group_3","3","Liabilities","Nợ phải trả"
"c133_account_group_4","4","Owner’s Equity","Vốn chủ sở hữu"
"c133_account_group_5","5","Revenue","Doanh thu"
"c133_account_group_6","6","Costs of Production & Business","Chi phí sản xuất, kinh doanh"
"c133_account_group_7","7","Other Income","Thu nhập khác"
"c133_account_group_8","8","Other Expenses","Chi phí khác"
"c133_account_group_9","9","Income Summary","Xác định kết quả kinh doanh"
